customer_key,customer_number,customer_name,age,age_group,customer_segment,last_order_date,recency,total_orders,total_sales,total_quantity,lifespan,avg_order_value,avg_monthly_spend
39,AW00011038,Diana Hernandez,73,50 and above,VIP,2013-11-12,153,3,6437,3,3,2145,195
40,AW00011039,Marc Martin,72,50 and above,VIP,2013-11-11,153,3,6636,9,8,2212,201
41,AW00011040,Jesse Murphy,43,40-49,New,2013-04-03,160,1,2351,3,3,2351,2351
42,AW00011041,Amanda Carter,43,40-49,New,2013-01-14,163,1,2381,3,3,2381,2381
43,AW00011042,Megan Sanchez,44,40-49,New,2013-10-17,154,2,3112,3,3,1556,345
44,AW00011043,Nathan Simmons,45,40-49,New,2013-08-18,156,2,48,3,3,24,16
45,AW00011044,Adam Flores,72,50 and above,VIP,2013-11-08,153,3,6515,7,7,2171,197
46,AW00011045,Leonard Nara,71,50 and above,New,2013-10-29,154,2,115,4,4,57,19
47,AW00011046,Christine Yuan,71,50 and above,VIP,2013-11-12,153,3,6616,6,6,2205,200
48,AW00011047,Jaclyn Lu,71,50 and above,VIP,2013-11-19,153,3,6582,4,4,2194,199
49,AW00011048,Jeremy Powell,70,50 and above,VIP,2013-12-25,152,3,6498,8,8,2166,191
50,AW00011049,Carol Rai,40,40-49,New,2013-10-29,154,2,81,5,5,40,11
51,AW00011050,Alan Zheng,69,50 and above,VIP,2013-11-19,153,3,5007,6,6,1669,151
52,AW00011051,Daniel Johnson,69,50 and above,New,2014-01-01,151,2,124,5,5,62,124
53,AW00011052,Heidi Lopez,69,50 and above,VIP,2013-05-27,159,3,8131,7,7,2710,301
54,AW00011053,Ana Price,40,40-49,New,2013-01-17,163,1,2330,2,2,2330,2330
55,AW00011054,Deanna Munoz,69,50 and above,VIP,2013-05-30,159,3,8223,6,6,2741,304
56,AW00011055,Gilbert Raje,69,50 and above,VIP,2013-06-07,158,3,8168,8,8,2722,281
57,AW00011056,Michele Nath,68,50 and above,VIP,2013-05-31,159,3,8207,8,8,2735,303
58,AW00011057,Carl Andersen,56,50 and above,VIP,2013-05-21,159,3,8088,4,4,2696,299
59,AW00011058,Marc Diaz,61,50 and above,VIP,2013-06-04,158,3,8248,6,6,2749,305
60,AW00011059,Ashlee Andersen,67,50 and above,New,2013-03-16,161,3,117,7,6,39,117
61,AW00011060,Jon Zhou,67,50 and above,VIP,2013-06-25,158,3,8153,6,6,2717,301
62,AW00011061,Todd Gao,50,50 and above,VIP,2013-06-14,158,3,8129,6,6,2709,301
63,AW00011062,Noah Powell,45,40-49,New,2013-01-07,163,1,2352,3,3,2352,2352
64,AW00011063,Angela Murphy,46,40-49,New,2013-01-12,163,1,2373,5,5,2373,2373
65,AW00011064,Chase Reed,45,40-49,New,2013-01-25,163,1,2305,2,2,2305,2305
66,AW00011065,Jessica Henderson,47,40-49,New,2014-01-10,151,2,202,5,4,101,18
67,AW00011066,Grace Butler,47,40-49,New,2013-09-19,155,2,81,5,5,40,20
68,AW00011067,Caleb Carter,44,40-49,New,2014-01-12,151,2,105,6,6,52,21
69,AW00011068,Tiffany Liang,60,50 and above,New,2013-10-08,154,3,113,9,8,37,18
70,AW00011069,Carolyn Navarro,60,50 and above,VIP,2013-06-04,158,3,8104,3,3,2701,311
71,AW00011070,Willie Raji,66,50 and above,VIP,2013-06-26,158,3,8165,10,9,2721,314
72,AW00011071,Linda Serrano,66,50 and above,New,2013-12-01,152,3,110,7,6,36,12
73,AW00011072,Casey Luo,66,50 and above,VIP,2013-06-15,158,3,8194,7,7,2731,303
74,AW00011073,Amy Ye,64,50 and above,New,2013-08-21,156,3,192,10,9,64,38
75,AW00011074,Levi Arun,64,50 and above,New,2013-05-27,159,3,94,7,7,31,47
76,AW00011075,Felicia Jimenez,63,50 and above,VIP,2013-06-24,158,3,8068,5,5,2689,310
77,AW00011076,Blake Anderson,63,50 and above,VIP,2013-06-21,158,3,8159,4,4,2719,313
78,AW00011077,Leah Ye,63,50 and above,VIP,2013-06-12,158,3,8169,5,5,2723,314
79,AW00011078,Gina Martin,41,40-49,New,2014-01-28,151,17,912,31,23,53,82
80,AW00011079,Donald Gonzalez,56,50 and above,New,2014-01-01,151,3,58,5,5,19,5
81,AW00011080,Damien Chander,61,50 and above,VIP,2013-06-23,158,3,8204,7,7,2734,315
82,AW00011081,Savannah Baker,54,50 and above,New,2013-04-13,160,2,104,5,5,52,52
83,AW00011082,Angela Butler,54,50 and above,New,2013-11-06,153,2,3110,6,6,1555,311
84,AW00011083,Alyssa Cox,49,40-49,New,2013-11-08,153,2,3137,5,5,1568,313
85,AW00011084,Lucas Phillips,63,50 and above,New,2013-11-21,153,2,3078,5,5,1539,307
86,AW00011085,Emily Johnson,63,50 and above,New,2014-01-08,151,2,129,5,5,64,129
87,AW00011086,Ryan Brown,63,50 and above,New,2013-12-21,152,2,153,6,6,76,30
88,AW00011087,Tamara Liang,63,50 and above,New,2013-08-09,156,2,200,4,4,100,33
89,AW00011088,Hunter Davis,63,50 and above,New,2013-11-12,153,2,3176,7,7,1588,317
90,AW00011089,Abigail Price,64,50 and above,New,2013-11-18,153,2,3188,7,7,1594,289
91,AW00011090,Trevor Bryant,58,50 and above,VIP,2013-11-21,153,3,6703,6,6,2234,248
92,AW00011091,Dalton Perez,64,50 and above,Regular,2014-01-08,151,28,1186,59,25,42,98
93,AW00011092,Cheryl Diaz,54,50 and above,VIP,2013-06-21,158,3,8110,5,5,2703,311
94,AW00011093,Aimee He,48,40-49,VIP,2013-06-08,158,3,8180,7,7,2726,314
95,AW00011094,Cedric Ma,59,50 and above,New,2014-01-11,151,3,236,8,8,78,26
96,AW00011095,Chad Kumar,58,50 and above,VIP,2013-06-25,158,3,8158,7,7,2719,313
97,AW00011096,AndrÔö£┬«s Anand,58,50 and above,VIP,2013-07-30,157,3,8063,4,4,2687,298
98,AW00011097,Edwin Nara,54,50 and above,VIP,2013-07-24,157,3,8099,5,5,2699,299
99,AW00011098,Mallory Rubio,60,50 and above,New,2013-10-16,154,3,89,4,4,29,11
100,AW00011099,Adam Ross,60,50 and above,VIP,2013-07-01,157,3,8216,9,8,2738,304
101,AW00011100,Latasha Navarro,60,50 and above,VIP,2013-08-07,156,3,8172,7,7,2724,291
102,AW00011101,Abby Sai,56,50 and above,VIP,2013-06-29,158,3,8262,7,7,2754,317
103,AW00011102,Julia Nelson,56,50 and above,New,2013-12-09,152,3,103,5,5,34,20
104,AW00011103,Cassie Chande,45,40-49,VIP,2013-06-06,158,3,8182,8,8,2727,314
105,AW00011104,Edgar Sara,51,50 and above,VIP,2013-06-15,158,3,8173,6,6,2724,326
106,AW00011105,Candace Fernandez,56,50 and above,VIP,2013-06-05,158,3,8096,5,5,2698,323
107,AW00011106,Jessie Liu,56,50 and above,VIP,2013-06-15,158,3,8079,3,3,2693,323
108,AW00011107,Bianca Lin,50,50 and above,VIP,2013-06-21,158,3,8171,6,6,2723,326
109,AW00011108,Kari Alvarez,57,50 and above,VIP,2013-06-23,158,3,8124,5,5,2708,324
110,AW00011109,Ruben Kapoor,46,40-49,VIP,2013-06-24,158,3,8245,8,8,2748,329
111,AW00011110,Curtis Yang,59,50 and above,VIP,2013-08-20,156,3,8093,5,5,2697,299
112,AW00011111,Meredith Gutierrez,59,50 and above,VIP,2013-08-22,156,3,8137,8,8,2712,301
113,AW00011112,Crystal Wang,58,50 and above,VIP,2013-09-02,155,3,8295,6,6,2765,296
114,AW00011113,Micheal Blanco,53,50 and above,New,2013-04-21,160,3,110,7,7,36,55
115,AW00011114,Leslie Moreno,59,50 and above,New,2013-12-26,152,3,123,7,6,41,13
116,AW00011115,Alvin Cai,59,50 and above,New,2014-01-02,151,3,114,6,6,38,10
117,AW00011116,Clinton Carlson,47,40-49,New,2013-10-16,154,3,149,7,7,49,21
118,AW00011117,April Deng,60,50 and above,VIP,2013-06-25,158,3,8185,8,8,2728,327
119,AW00011118,Alvin Zeng,64,50 and above,New,2014-01-26,151,3,124,8,6,41,20
120,AW00011119,Evan James,86,50 and above,New,2013-11-23,153,2,85,4,4,42,9
121,AW00011120,Beth JimÔö£┬«nez,84,50 and above,VIP,2013-09-19,155,3,8242,10,10,2747,294
122,AW00011121,Orlando Suarez,60,50 and above,New,2013-11-04,153,3,58,6,5,19,11
123,AW00011122,Byron Vazquez,61,50 and above,New,2013-08-22,156,3,43,3,3,14,7
124,AW00011123,Philip Alvarez,61,50 and above,New,2014-01-25,151,3,150,8,7,50,16
125,AW00011124,Ross Jordan,58,50 and above,VIP,2013-06-18,158,3,8129,6,6,2709,325
126,AW00011125,Dana Navarro,65,50 and above,New,2013-07-03,157,3,79,7,7,26,13
127,AW00011126,Shaun Carson,72,50 and above,Regular,2013-11-03,153,3,4971,8,7,1657,165
128,AW00011127,Jan Edwards,45,40-49,New,2013-10-01,154,2,44,3,3,22,7
129,AW00011128,Samantha Long,45,40-49,New,2013-08-12,156,2,144,7,7,72,72
130,AW00011129,Julia Wright,45,40-49,VIP,2013-01-09,163,2,5873,2,2,2936,345
131,AW00011130,Caroline Russell,41,40-49,New,2013-12-09,152,1,37,2,2,37,37
132,AW00011131,Amanda Rivera,41,40-49,New,2014-01-23,151,5,166,9,9,33,55
133,AW00011132,Melissa Richardson,40,40-49,New,2013-04-09,160,1,2372,6,6,2372,2372
134,AW00011133,Angela Griffin,40,40-49,New,2013-12-30,152,1,72,4,4,72,72
135,AW00011134,Larry Townsend,69,50 and above,Regular,2013-11-03,153,3,4911,3,3,1637,163
136,AW00011135,Marcus Harris,41,40-49,New,2013-04-18,160,1,2335,3,3,2335,2335
137,AW00011136,Brianna Morgan,42,40-49,New,2013-01-03,163,1,2381,3,3,2381,2381
138,AW00011137,Jasmine Taylor,42,40-49,New,2014-01-20,151,2,202,5,4,101,33
139,AW00011138,Lauren Davis,42,40-49,New,2013-12-31,152,2,79,4,4,39,26
140,AW00011139,Tanya Moreno,77,50 and above,New,2013-10-17,154,2,84,3,3,42,84
141,AW00011140,Javier Alvarez,44,40-49,New,2013-03-19,161,1,40,2,2,40,40
142,AW00011141,Nicole Ramirez,44,40-49,New,2013-09-28,155,2,114,5,5,57,28
143,AW00011142,Eduardo Patterson,43,40-49,New,2014-01-13,151,17,979,36,23,57,89
144,AW00011143,Jonathan Henderson,44,40-49,New,2013-12-19,152,2,48,5,4,24,8
145,AW00011144,Edward Hernandez,41,40-49,New,2013-01-25,163,1,2400,3,3,2400,2400
146,AW00011145,Jasmine Coleman,41,40-49,New,2013-01-25,163,1,2310,3,3,2310,2310
147,AW00011146,Karla Goel,81,50 and above,New,2013-09-15,155,3,113,7,6,37,16
148,AW00011147,Ernest Wu,82,50 and above,VIP,2013-10-16,154,3,8195,7,7,2731,282
149,AW00011148,Ross Vazquez,79,50 and above,New,2013-12-03,152,3,126,6,5,42,14
150,AW00011149,Theodore Gill,80,50 and above,New,2013-11-29,153,3,41,4,4,13,8
151,AW00011150,Russell Shen,80,50 and above,New,2013-07-15,157,3,192,8,7,64,48
152,AW00011151,Melinda Gill,79,50 and above,VIP,2013-10-20,154,3,8087,6,6,2695,278
153,AW00011152,James Williams,45,40-49,New,2013-01-09,163,1,2295,1,1,2295,2295
154,AW00011153,Angela James,45,40-49,New,2013-03-29,161,2,110,5,5,55,110
155,AW00011154,Megan Walker,44,40-49,New,2013-01-10,163,1,2320,1,1,2320,2320
156,AW00011155,Hunter Robinson,45,40-49,New,2013-01-06,163,1,2320,1,1,2320,2320
157,AW00011156,Maria Roberts,45,40-49,New,2013-01-08,163,1,2390,4,4,2390,2390
158,AW00011157,Hannah Long,46,40-49,New,2013-09-11,155,2,41,3,3,20,20
159,AW00011158,Jason Wright,45,40-49,New,2013-01-19,163,1,2396,3,3,2396,2396
160,AW00011159,Brianna Hughes,45,40-49,New,2013-11-07,153,2,48,5,4,24,24
161,AW00011160,Maurice Tang,47,40-49,New,2013-02-21,162,1,2322,2,2,2322,2322
162,AW00011161,Emily Wood,47,40-49,New,2013-11-11,153,2,94,6,6,47,18
163,AW00011162,Chase Cox,47,40-49,New,2013-02-18,162,1,2330,2,2,2330,2330
164,AW00011163,Gabriel Wang,46,40-49,New,2013-08-05,156,2,46,4,4,23,15
165,AW00011164,Devin Brooks,47,40-49,New,2013-08-05,156,2,145,6,6,72,36
166,AW00011165,Jocelyn Alexander,47,40-49,New,2013-06-05,158,2,103,3,3,51,103
167,AW00011166,Ashley Martinez,49,40-49,New,2013-12-06,152,2,88,5,5,44,44
168,AW00011167,Jasmine Barnes,48,40-49,New,2013-11-28,153,2,3126,4,4,1563,312
169,AW00011168,David Rodriguez,53,50 and above,New,2013-11-16,153,2,3136,7,7,1568,313
170,AW00011169,Bryce Richardson,53,50 and above,New,2013-09-24,155,2,81,5,5,40,20
171,AW00011170,Carol Howard,53,50 and above,New,2013-12-29,152,2,157,7,7,78,39
172,AW00011171,Jonathan Hill,48,40-49,VIP,2013-11-07,153,3,6716,8,8,2238,248
173,AW00011172,Gabrielle Adams,53,50 and above,New,2014-01-11,151,2,129,7,6,64,16
174,AW00011173,Sarah Thomas,53,50 and above,New,2013-12-24,152,2,103,3,3,51,11
175,AW00011174,Nicholas Robinson,53,50 and above,New,2013-07-25,157,2,48,5,4,24,48
176,AW00011175,Luis Wang,58,50 and above,VIP,2013-11-03,153,3,6710,8,8,2236,248
177,AW00011176,Mason Roberts,47,40-49,New,2014-01-27,151,28,1317,60,27,47,119
178,AW00011177,Jose Flores,78,50 and above,New,2013-10-14,154,2,135,6,6,67,19
179,AW00011178,Nathan Johnson,72,50 and above,New,2013-05-26,159,2,145,6,6,72,48
180,AW00011179,Molly Rodriguez,67,50 and above,New,2014-01-09,151,2,125,6,6,62,12
181,AW00011180,April Anand,78,50 and above,New,2013-09-25,155,2,138,6,6,69,23
182,AW00011181,Devin Martin,66,50 and above,New,2013-07-11,157,2,41,3,3,20,20
183,AW00011182,Stephanie Torres,76,50 and above,New,2014-01-05,151,2,81,5,5,40,16
184,AW00011183,Jasmine Lee,76,50 and above,New,2013-06-13,158,2,46,4,4,23,23
185,AW00011184,Meghan Hernandez,71,50 and above,New,2013-10-09,154,2,68,5,5,34,34
186,AW00011185,Ashley Henderson,76,50 and above,New,2014-01-26,151,27,1616,68,29,59,146
187,AW00011186,Sarah Price,77,50 and above,New,2014-01-07,151,2,41,3,3,20,13
188,AW00011187,Jennifer Cooper,77,50 and above,New,2013-08-06,156,2,108,4,4,54,27
189,AW00011188,Catherine Morris,76,50 and above,New,2014-01-21,151,2,81,5,5,40,40
190,AW00011189,Lawrence Blanco,76,50 and above,VIP,2013-02-05,162,2,5944,6,6,2972,330
191,AW00011190,Carson Bryant,77,50 and above,New,2014-01-16,151,2,46,4,4,23,9
192,AW00011191,Kristi Perez,75,50 and above,VIP,2013-11-06,153,3,6743,7,7,2247,249
193,AW00011192,James Brown,75,50 and above,New,2013-09-25,155,2,114,5,5,57,38
194,AW00011193,Ian Gray,76,50 and above,New,2013-08-18,156,2,41,3,3,20,6
195,AW00011194,Jacqueline Price,76,50 and above,New,2013-12-08,152,2,105,6,6,52,11
196,AW00011195,Megan Henderson,75,50 and above,New,2013-10-22,154,2,105,6,6,52,17
197,AW00011196,Alfredo Romero,75,50 and above,New,2013-09-24,155,2,162,4,4,81,27
198,AW00011197,Andrea Morris,75,50 and above,New,2013-07-20,157,2,207,6,5,103,103
199,AW00011198,Brooke Sanders,74,50 and above,New,2013-02-13,162,2,98,4,4,49,98
200,AW00011199,Jacqueline Bennett,69,50 and above,New,2013-10-17,154,2,132,6,6,66,18
201,AW00011200,Jason Griffin,73,50 and above,New,2014-01-20,151,27,1461,55,26,54,132
202,AW00011201,Amanda Foster,73,50 and above,New,2013-09-09,155,2,181,6,6,90,90
203,AW00011202,Alexia Price,68,50 and above,New,2013-09-21,155,2,74,3,3,37,74
204,AW00011203,Luis Diaz,67,50 and above,New,2013-12-11,152,17,800,32,19,47,80
205,AW00011204,Destiny Rivera,73,50 and above,New,2013-11-10,153,2,77,4,4,38,25
206,AW00011205,Abby Fernandez,72,50 and above,New,2013-10-08,154,2,37,2,2,18,12
207,AW00011206,Blake Flores,72,50 and above,New,2013-05-30,159,2,77,4,4,38,77
208,AW00011207,Danielle Cox,72,50 and above,New,2013-10-18,154,2,77,4,4,38,8
209,AW00011208,Maria Reed,73,50 and above,New,2013-09-17,155,2,134,7,7,67,22
210,AW00011209,Allison Evans,73,50 and above,New,2014-01-22,151,2,37,2,2,18,3
211,AW00011210,Edward Wood,73,50 and above,New,2013-09-06,155,2,70,5,5,35,17
212,AW00011211,Samantha Russell,66,50 and above,New,2014-01-07,151,17,792,33,22,46,72
213,AW00011212,Chloe Campbell,71,50 and above,Regular,2014-01-17,151,17,824,33,20,48,68
214,AW00011213,Stephanie Murphy,72,50 and above,New,2013-09-09,155,2,77,4,4,38,12
215,AW00011214,Charles Miller,71,50 and above,New,2013-11-19,153,2,162,4,4,81,54
216,AW00011215,Ana Perry,65,50 and above,New,2013-12-15,152,17,1154,32,21,67,115
217,AW00011216,Jasmine Torres,71,50 and above,VIP,2013-02-05,162,2,5948,5,5,2974,330
218,AW00011217,Natalie Adams,71,50 and above,VIP,2013-02-14,162,2,5953,3,3,2976,330
219,AW00011218,Olivia Brown,65,50 and above,New,2014-01-04,151,2,39,3,2,19,3
220,AW00011219,Charles Cook,70,50 and above,New,2014-01-24,151,2,39,3,2,19,13
221,AW00011220,Erica Huang,65,50 and above,New,2013-12-13,152,2,50,4,4,25,5
222,AW00011221,Nathan Perry,71,50 and above,New,2013-10-17,154,2,46,4,4,23,7
223,AW00011222,Alexandra Rivera,70,50 and above,New,2013-11-28,153,2,208,6,6,104,208
224,AW00011223,Hailey Patterson,69,50 and above,Regular,2014-01-06,151,27,1293,65,26,47,107
225,AW00011224,Tiffany Li,69,50 and above,VIP,2013-12-03,152,3,6685,5,5,2228,238
226,AW00011225,Madison Lee,64,50 and above,New,2013-09-06,155,2,73,5,5,36,24
227,AW00011226,Sydney Ross,64,50 and above,New,2013-03-31,161,2,37,2,2,18,37
228,AW00011227,Marshall Chavez,64,50 and above,VIP,2013-02-10,162,2,5910,5,5,2955,328
229,AW00011228,Ashley Jones,70,50 and above,New,2014-01-17,151,2,77,4,4,38,25
230,AW00011229,Adrian Stewart,69,50 and above,New,2014-01-25,151,2,81,5,5,40,13
231,AW00011230,Amber Turner,70,50 and above,New,2013-12-09,152,2,54,5,5,27,10
232,AW00011231,Dennis Zhang,63,50 and above,New,2013-11-12,153,2,64,4,4,32,7
233,AW00011232,Hailey Bryant,68,50 and above,New,2013-11-13,153,2,39,3,2,19,19
234,AW00011233,Todd Li,63,50 and above,New,2013-06-08,158,2,179,7,7,89,44
235,AW00011234,Anna Griffin,68,50 and above,New,2013-09-19,155,2,76,4,4,38,10
236,AW00011235,Angel Stewart,69,50 and above,New,2014-01-05,151,2,138,6,5,69,23
237,AW00011236,Jeremy Butler,69,50 and above,New,2014-01-06,151,2,114,5,5,57,38
238,AW00011237,Clarence Anand,62,50 and above,VIP,2013-11-25,153,4,10566,6,6,2641,406
239,AW00011238,Mayra Prasad,62,50 and above,VIP,2013-04-30,160,4,7543,9,9,1885,279
240,AW00011239,Latoya Goel,57,50 and above,VIP,2013-05-28,159,4,7511,11,11,1877,268
241,AW00011240,Anne Hernandez,62,50 and above,VIP,2013-05-13,159,4,7586,13,10,1896,280
242,AW00011241,Lisa Cai,52,50 and above,VIP,2013-10-29,154,7,11468,25,20,1638,882
243,AW00011242,Larry Munoz,63,50 and above,VIP,2013-12-04,152,7,11067,12,12,1581,737
244,AW00011243,Robin Alvarez,63,50 and above,VIP,2013-06-09,158,4,7164,12,10,1791,255
245,AW00011244,Alexis Coleman,58,50 and above,VIP,2013-07-19,157,4,7175,12,11,1793,247
246,AW00011245,Ricky Vazquez,64,50 and above,VIP,2013-12-11,152,4,10580,9,9,2645,391
247,AW00011246,Latasha Rubio,64,50 and above,VIP,2013-12-20,152,4,10575,7,7,2643,406
248,AW00011247,Claudia Zhou,65,50 and above,VIP,2013-08-17,156,4,7131,12,11,1782,237
249,AW00011248,Tristan Alexander,60,50 and above,New,2013-07-14,157,1,38,3,3,38,38
250,AW00011249,Cindy Patel,60,50 and above,VIP,2013-09-15,155,4,9890,11,11,2472,430
251,AW00011250,Shannon Liu,60,50 and above,VIP,2013-08-06,156,4,7115,11,10,1778,245
252,AW00011251,Xavier Long,88,50 and above,New,2013-10-18,154,1,2319,4,4,2319,2319
253,AW00011252,Nicholas Thompson,89,50 and above,VIP,2013-12-18,152,3,6685,7,7,2228,238
254,AW00011253,JosÔö£┬« Hernandez,77,50 and above,New,2013-12-03,152,16,695,30,16,43,77
255,AW00011254,Johnathan Vance,88,50 and above,New,2013-12-14,152,2,204,9,9,102,204
256,AW00011255,Colin Lin,88,50 and above,New,2013-03-31,161,2,114,5,5,57,114
257,AW00011256,Katelyn Hernandez,87,50 and above,New,2013-10-16,154,2,81,5,5,40,13
258,AW00011257,Jacqueline Powell,NULL,50 and above,VIP,2013-12-14,152,3,6676,6,6,2225,238
259,AW00011258,Xavier Hill,88,50 and above,New,2013-07-15,157,2,49,4,4,24,24
260,AW00011259,Victoria Stewart,56,50 and above,VIP,2013-12-20,152,3,6770,5,5,2256,250
261,AW00011260,Katelyn Kelly,50,50 and above,New,2013-06-23,158,2,81,5,5,40,20
262,AW00011261,Stephanie Collins,56,50 and above,VIP,2013-12-23,152,3,6650,4,4,2216,246
263,AW00011262,Jennifer Simmons,51,50 and above,New,2014-01-22,151,27,1124,63,26,41,102
264,AW00011263,Trinity Richardson,56,50 and above,VIP,2013-12-10,152,3,6753,9,9,2251,241
265,AW00011264,Eduardo Martin,57,50 and above,New,2013-11-30,153,2,3182,8,8,1591,318
266,AW00011265,Elizabeth Jones,56,50 and above,New,2013-01-03,163,1,2352,3,3,2352,2352
267,AW00011266,Taylor Howard,57,50 and above,VIP,2013-01-20,163,2,5922,5,5,2961,370
268,AW00011267,David Diaz,51,50 and above,VIP,2013-01-07,163,2,5943,5,5,2971,371
269,AW00011268,Katelyn Carter,57,50 and above,New,2013-11-16,153,2,98,5,5,49,16
270,AW00011269,Ryan Foster,51,50 and above,New,2013-09-10,155,2,42,3,3,21,42
271,AW00011270,Robert Lee,51,50 and above,VIP,2013-01-07,163,2,5984,5,5,2992,374
272,AW00011271,Danielle Reed,57,50 and above,VIP,2013-01-22,163,2,5973,5,5,2986,373
273,AW00011272,Lauren Martinez,64,50 and above,VIP,2013-01-13,163,2,5975,4,4,2987,373
274,AW00011273,Nathan Lal,64,50 and above,New,2013-05-23,159,2,273,8,8,136,273
275,AW00011274,Kyle Foster,87,50 and above,VIP,2013-02-24,162,2,5888,4,4,2944,327
276,AW00011275,Jenny Rai,87,50 and above,VIP,2013-01-12,163,2,5955,4,4,2977,350
277,AW00011276,Nancy Chapman,52,50 and above,Regular,2014-01-22,151,27,987,57,22,36,82
278,AW00011277,Charles Jackson,58,50 and above,New,2014-01-16,151,27,1434,65,26,53,130
279,AW00011278,Jonathan Phillips,57,50 and above,VIP,2013-01-03,163,2,5908,3,3,2954,369
280,AW00011279,Amanda Cook,52,50 and above,New,2013-06-22,158,2,44,4,3,22,14
281,AW00011280,Robert Collins,57,50 and above,New,2013-08-08,156,2,77,4,4,38,77
282,AW00011281,Megan Barnes,52,50 and above,VIP,2013-01-11,163,2,5921,5,5,2960,370
283,AW00011282,Christian Thomas,59,50 and above,VIP,2013-01-02,163,2,5999,6,6,2999,352
284,AW00011283,Arturo Lal,58,50 and above,New,2013-08-28,156,2,44,4,3,22,14
285,AW00011284,Theresa Serrano,59,50 and above,New,2013-05-02,159,2,55,5,3,27,18
286,AW00011285,Jeremy Anderson,53,50 and above,New,2013-10-26,154,2,128,5,5,64,42
287,AW00011286,Hunter Griffin,59,50 and above,VIP,2013-01-20,163,2,5954,5,5,2977,372
